Date;ID;Title;Speaker Name;Thumbnail;Tags;Views;Likes;Dislikes;Favourite Count;Comment Count;Published on
2019-04-20;14cZX-dN03s;How to predict everything - even who dies next in Game of Thrones;Guy Yachdav;https://i.ytimg.com/vi/14cZX-dN03s/mqdefault.jpg;TEDxTalks,English,Germany,Technology,AI,Book,Computers,Culture,Data,Death,Film,Literature,Science,TV,Visualization;7056;87;6;0;5;2016-09-08T17:20:37.000Z
2019-04-20;EQbLO3PJ1SQ;Relax, leading is about trusting your team;Sarah Fleischer;https://i.ytimg.com/vi/EQbLO3PJ1SQ/mqdefault.jpg;TEDxTalks,English,Germany,Business,Big problems,Communication,Community,Creativity,Engineering,Future,Global issues,Innovation,Leadership,Mobility,Motivation,Sustainability,Transportation;2104;22;1;0;2;2016-09-06T15:23:57.000Z
2019-04-20;2HJG_Nsx62U;Water Systems in Cities of the Future;Jörg Drewes;https://i.ytimg.com/vi/2HJG_Nsx62U/mqdefault.jpg;TEDxTalks,English,Germany,Global Issues,Cities,Community,Engineering,Environment,Global issues,Nature,Sustainability,Urban Planning,Water;2362;32;4;0;0;2016-09-06T21:03:47.000Z
2019-04-21;ZqlTSCvP-Z0;How drawing helps you think;Ralph Ammer;https://i.ytimg.com/vi/ZqlTSCvP-Z0/mqdefault.jpg;TEDxTalks,English,Art,Arts education,Beauty,Communication,Creation,Creativity,Design,Ideas,Learning,Painting,Personal growth,Visualization;3745;142;3;0;8;2019-01-17T17:56:07.000Z
2019-04-21;iq5SLf6xPFQ;Are you living the life you want to live?;Taz Alam;https://i.ytimg.com/vi/iq5SLf6xPFQ/mqdefault.jpg;TEDxTalks,English,Life,Career,Exploration,Life Development,Self,Self improvement,Self-help;270113;20147;103;0;723;2018-02-21T21:46:59.000Z
2019-04-21;iuIisjRIcVI;Motivate yourself with visions, goals and willpower;Hugo Kehr;https://i.ytimg.com/vi/iuIisjRIcVI/mqdefault.jpg;TEDxTalks,English,Germany,Life,Achievement,Anthropology,Brain,Career,Control,Decision making,Goal-setting,Happiness,Life Development,Life Hack,Mindfulness,Motivation,Personal growth,Positive Thinking,Social Science,Society,Success,Work;298068;5232;177;0;98;2017-02-09T19:43:41.000Z
2019-04-21;EJDpbsvWdsg;Born in Ireland, made in Germany;Mel Kelly;https://i.ytimg.com/vi/EJDpbsvWdsg/mqdefault.jpg;TEDxTalks,English,Germany,Entertainment,Aging,Comedy,Culture,Humor,Society;154446;1301;276;0;144;2017-02-14T15:28:53.000Z
2019-04-21;69OAhVh6POY;Let’s build machines as complex as nature;Lin Kayser;https://i.ytimg.com/vi/69OAhVh6POY/mqdefault.jpg;TEDxTalks,English,Technology,Design,Engineering,Materials,Nature,Printing,Product design,Space,Sustainability;1665;42;1;0;4;2019-01-17T17:56:07.000Z
2019-04-21;KCLdryjDl6E;Memory techniques - Your secret weapon in the information age;Simon Reinhard;https://i.ytimg.com/vi/KCLdryjDl6E/mqdefault.jpg;TEDxTalks,English,Germany,Education,Consciousness,Data,Memory,Personal education,Personal growth,Self,Self improvement,Self-help;437264;4685;234;0;105;2017-02-10T17:11:16.000Z
2019-04-21;VgluoTngkQE;Globalization: a view from space;Xiaoxiang Zhu;https://i.ytimg.com/vi/VgluoTngkQE/mqdefault.jpg;TEDxTalks,English,Science (hard),Big Data,Data,Global issues,Globalization,Map,Research,Science,Slum,Space,Technology,Urban Areas,Urban Planning;886;12;0;0;1;2019-01-17T17:56:07.000Z
